statcod;jrsttcd;statnam;naam;dac_cod;dac_id
GM0432;2020GM0432;Opmeer;Noord-Holland-Noord/Zaanstreek-Waterland;NHN;10/Nov
GM0439;2020GM0439;Purmerend;Noord-Holland-Noord/Zaanstreek-Waterland;NHN;10/Nov
GM0441;2020GM0441;Schagen;Noord-Holland-Noord/Zaanstreek-Waterland;NHN;10/Nov
GM0448;2020GM0448;Texel;Noord-Holland-Noord/Zaanstreek-Waterland;NHN;10/Nov
GM0479;2020GM0479;Zaanstad;Noord-Holland-Noord/Zaanstreek-Waterland;NHN;10/Nov
GM0498;2020GM0498;Drechterland;Noord-Holland-Noord/Zaanstreek-Waterland;NHN;10/Nov
GM0532;2020GM0532;Stede Broec;Noord-Holland-Noord/Zaanstreek-Waterland;NHN;10/Nov
GM0852;2020GM0852;Waterland;Noord-Holland-Noord/Zaanstreek-Waterland;NHN;10/Nov
GM0880;2020GM0880;Wormerland;Noord-Holland-Noord/Zaanstreek-Waterland;NHN;10/Nov
GM1598;2020GM1598;Koggenland;Noord-Holland-Noord/Zaanstreek-Waterland;NHN;10/Nov
GM1911;2020GM1911;Hollands Kroon;Noord-Holland-Noord/Zaanstreek-Waterland;NHN;10/Nov
GM0375;2020GM0375;Beverwijk;Kennemerland;KNM;12
GM0377;2020GM0377;Bloemendaal;Kennemerland;KNM;12
GM0392;2020GM0392;Haarlem;Kennemerland;KNM;12
GM0394;2020GM0394;Haarlemmermeer;Kennemerland;KNM;12
GM0396;2020GM0396;Heemskerk;Kennemerland;KNM;12
GM0397;2020GM0397;Heemstede;Kennemerland;KNM;12
GM0450;2020GM0450;Uitgeest;Kennemerland;KNM;12
GM0453;2020GM0453;Velsen;Kennemerland;KNM;12
GM0473;2020GM0473;Zandvoort;Kennemerland;KNM;12
GM0358;2020GM0358;Aalsmeer;Amsterdam-Amstelland;AA;13
GM0362;2020GM0362;Amstelveen;Amsterdam-Amstelland;AA;13
GM0363;2020GM0363;Amsterdam;Amsterdam-Amstelland;AA;13
GM0384;2020GM0384;Diemen;Amsterdam-Amstelland;AA;13
GM0437;2020GM0437;Ouder-Amstel;Amsterdam-Amstelland;AA;13
GM0451;2020GM0451;Uithoorn;Amsterdam-Amstelland;AA;13
GM0503;2020GM0503;Delft;Haaglanden;UTR;15
GM0518;2020GM0518;'s-Gravenhage;Haaglanden;UTR;15
GM0603;2020GM0603;Rijswijk;Haaglanden;UTR;15
GM0629;2020GM0629;Wassenaar;Haaglanden;UTR;15
GM0637;2020GM0637;Zoetermeer;Haaglanden;UTR;15
GM1783;2020GM1783;Westland;Haaglanden;UTR;15
GM1842;2020GM1842;Midden-Delfland;Haaglanden;UTR;15
